	rank,meigara,kuramoto,detail_url,highscore_words
113,蒼空,藤岡酒造,http://www.sakeno.com/meigara/1087,美味しい 若々しい 甘酸っぱい 重い 優しい
113,雪中梅,丸山酒造場,http://www.sakeno.com/meigara/610,旨い ほしい あつい 痛い 安い
113,喜久酔,青島酒造,http://www.sakeno.com/meigara/722,良い ない つらい 清々しい 不味い
113,泉川,廣木酒造本店,http://www.sakeno.com/meigara/408,楽しい 深い 心地よい 高い 濃い
113,車坂,吉村秀雄商店,http://www.sakeno.com/meigara/1353,濃い 心地よい 黒い 低い 上手い
113,梅乃宿,梅乃宿酒造,http://www.sakeno.com/meigara/899,酸っぱい 無い 柔らかい 美味い 力強い
128,いづみ橋,泉橋酒造,http://www.sakeno.com/meigara/499,いい 愛くるしい 可愛らしい よい 優しい
128,大信州,大信州酒造,http://www.sakeno.com/meigara/126,もの凄い 濃い 安い こい おいしい
128,龍力,本田商店,http://www.sakeno.com/meigara/871,美味しい 太い よい 旨い 柔かい
128,嘉美心,嘉美心酒造,http://www.sakeno.com/meigara/996,甘い ひどい ない ほどよい 甘ったるい
128,残草蓬莱,大矢孝酒造,http://www.sakeno.com/meigara/1174,丸い 臭い 少ない っぽい 良い
128,栄光冨士,冨士酒造,http://www.sakeno.com/meigara/72,ものすごい くどい 辛い うまい 濃い
128,貴,永山本家酒造場,http://www.sakeno.com/meigara/1085,強い 良い 荒々しい いい 貴い
128,水芭蕉,永井酒造,http://www.sakeno.com/meigara/99,やすい 物足りない おいしい よい 美味しい
128,萩の鶴,萩野酒造,http://www.sakeno.com/meigara/179,かわいらしい 大人しい 広い 香ばしい 高い
128,篠峯,千代酒造,http://www.sakeno.com/meigara/1514,幅広い 低い いい 旨い 美味しい
128,日置桜,山根酒造場,http://www.sakeno.com/meigara/950,素晴らしい 拙い ない ものすごい すい
128,龍神丸,高垣酒造,http://www.sakeno.com/meigara/1529,くやしい うい 早い 凄い 旨い
128,北雪,北雪酒造,http://www.sakeno.com/meigara/616,愉しい 甘酸っぱい 安い 高い よい
128,鷹勇,大谷酒造,http://www.sakeno.com/meigara/957,美味しい 良い 大きい ほしい 旨い
128,上善如水,白瀧酒造,http://www.sakeno.com/meigara/588,やすい 物足りない 安い 良い 美味しい
128,たかちよ,高千代酒造,http://www.sakeno.com/meigara/2899,おとなしい うすい 新しい 甘い いい
144,宗玄,宗玄酒造,http://www.sakeno.com/meigara/1055,軽々しい すがすがしい 少ない 柔らかい づらい
144,小鼓,西山酒造場,http://www.sakeno.com/meigara/875,優しい ものすごい 程よい 力強い うまい
144,鯉川,鯉川酒造,http://www.sakeno.com/meigara/71,心地よい 安い 香ばしい よい 易い
144,不老泉,上原酒造,http://www.sakeno.com/meigara/1119,速い 若い 強い 甘酸っぱい 多い
144,磐城壽,鈴木酒造店（福島県）,http://www.sakeno.com/meigara/1337,粘い おもしろい 幅広い 美味しい 奥深い
144,群馬泉,島岡酒造,http://www.sakeno.com/meigara/474,野太い 力強い うすい 濃い 凄い
144,龍勢,藤井酒造（広島県）,http://www.sakeno.com/meigara/1039,臭い いい 柔らかい 良い 生臭い
144,鏡山,小江戸鏡山酒造,http://www.sakeno.com/meigara/1369,旨い 素晴らしい 辛い 強い 甘い
144,花垣,南部酒造場,http://www.sakeno.com/meigara/670,薄い 珍しい しつこい いい ない
144,白岳仙,安本酒造,http://www.sakeno.com/meigara/1061,うまい 良い よい ほろ苦い 軽い
144,笑四季,笑四季酒造,http://www.sakeno.com/meigara/784,甘酸っぱい 強い たまらない やすい 弱い
144,萩乃露,福井弥平商店,http://www.sakeno.com/meigara/800,円い ぽい 美味い うまい 強い
144,醴泉,玉泉堂酒造,http://www.sakeno.com/meigara/691,よい 旨い 美味しい 薄い 良い
144,花泉,花泉酒造,http://www.sakeno.com/meigara/1221,容易い 親しい よい 痛い うれしい
144,大山,加藤嘉八郎酒造,http://www.sakeno.com/meigara/236,ない やすい いい 良い 上手い
144,鳴海,東灘醸造,http://www.sakeno.com/meigara/1994,わかい くちい 丸い 面白い っぽい
144,帰山,千曲錦酒造,http://www.sakeno.com/meigara/1750,甘ったるい 薄い しょっぱい 汚い 濃い
144,賀茂金秀,金光酒造（広島県）,http://www.sakeno.com/meigara/1233,新しい 強い 無い 良い いい
144,奥の松,奥の松酒造,http://www.sakeno.com/meigara/382,愉しい 悪い 良い 水っぽい ない
144,宮寒梅,寒梅酒造（宮城県）,http://www.sakeno.com/meigara/46,深い 切ない カッコイイ キメ細かい 上手い
