meigara_id,rank,meigara,yomi,kuramoto,prefecture,city,detail_url
87,77,松の司,まつのつかさ,松瀬酒造,滋賀県,蒲生郡,http://www.sakeno.com/meigara/793
88,77,ロ万,ろまん,花泉酒造,福島県,南会津郡,http://www.sakeno.com/meigara/1618
89,77,剣菱,けんびし,剣菱酒造,兵庫県,神戸市,http://www.sakeno.com/meigara/843
90,90,綿屋,わたや,金の井酒造,宮城県,栗原市,http://www.sakeno.com/meigara/1546
91,90,山間,やんま,新潟第一酒造,新潟県,上越市,http://www.sakeno.com/meigara/1517
92,90,秀鳳,しゅうほう,秀鳳酒造場,山形県,山形市,http://www.sakeno.com/meigara/217
93,90,越乃景虎,こしのかげとら,諸橋酒造,新潟県,長岡市,http://www.sakeno.com/meigara/570
94,90,菊水,きくすい,菊水酒造（新潟県）,新潟県,新発田市,http://www.sakeno.com/meigara/136
95,90,亀泉,かめいずみ,亀泉酒造,高知県,土佐市,http://www.sakeno.com/meigara/367
96,90,銀嶺立山,ぎんれいたてやま,立山酒造,富山県,砺波市,http://www.sakeno.com/meigara/634
97,90,三千盛,みちさかり,三千盛,岐阜県,多治見市,http://www.sakeno.com/meigara/699
98,90,尾瀬の雪どけ,おぜのゆきどけ,龍神酒造,群馬県,館林市,http://www.sakeno.com/meigara/473
99,90,ひこ孫,ひこまご,神亀酒造,埼玉県,蓮田市,http://www.sakeno.com/meigara/487
100,90,庭のうぐいす,にわのうぐいす,山口酒造場,福岡県,久留米市,http://www.sakeno.com/meigara/263
101,101,麒麟山,きりんざん,麒麟山酒造,新潟県,東蒲原郡,http://www.sakeno.com/meigara/135
102,101,来福,らいふく,来福酒造,茨城県,筑西市,http://www.sakeno.com/meigara/447
103,101,乾坤一,けんこんいち,大沼酒造店,宮城県,柴田郡,http://www.sakeno.com/meigara/1153
104,101,墨廼江,すみのえ,墨廼江酒造,宮城県,石巻市,http://www.sakeno.com/meigara/183
105,101,石鎚,いしづち,石鎚酒造,愛媛県,西条市,http://www.sakeno.com/meigara/348
106,101,初亀,はつかめ,初亀醸造,静岡県,藤枝市,http://www.sakeno.com/meigara/728
107,101,初孫,はつまご,東北銘醸,山形県,酒田市,http://www.sakeno.com/meigara/228
108,101,早瀬浦,はやせうら,三宅彦右衛門酒造,福井県,三方郡,http://www.sakeno.com/meigara/675
109,101,羽根屋,はねや,富美菊酒造,富山県,富山市,http://www.sakeno.com/meigara/1598
110,101,天の戸,あまのと,浅舞酒造,秋田県,横手市,http://www.sakeno.com/meigara/210
111,101,佐久乃花,さくのはな,佐久の花酒造,長野県,佐久市,http://www.sakeno.com/meigara/1131
112,101,幻,まぼろし,中尾醸造,広島県,竹原市,http://www.sakeno.com/meigara/1042
113,113,郷乃誉,さとのほまれ,須藤本家（茨城県）,茨城県,笠間市,http://www.sakeno.com/meigara/1081
114,113,諏訪泉,すわいずみ,諏訪酒造,鳥取県,八頭郡,http://www.sakeno.com/meigara/949
115,113,李白,りはく,李白酒造,島根県,松江市,http://www.sakeno.com/meigara/964
116,113,酔心,すいしん,酔心山根本店,広島県,三原市,http://www.sakeno.com/meigara/1044
117,113,長珍,ちょうちん,長珍酒造,愛知県,津島市,http://www.sakeno.com/meigara/1594
118,113,呉春,ごしゅん,呉春,大阪府,池田市,http://www.sakeno.com/meigara/801
119,113,一白水成,いっぱくすいせい,福禄寿酒造,秋田県,南秋田郡,http://www.sakeno.com/meigara/1753
120,113,不動,ふどう,鍋店,千葉県,香取郡,http://www.sakeno.com/meigara/1599
121,113,繁桝,しげます,高橋商店,福岡県,八女市,http://www.sakeno.com/meigara/278
122,113,蒼空,そうくう,藤岡酒造,京都府,京都市,http://www.sakeno.com/meigara/1087
123,113,雪中梅,せっちゅうばい,丸山酒造場,新潟県,上越市,http://www.sakeno.com/meigara/610
124,113,喜久酔,きくよい,青島酒造,静岡県,藤枝市,http://www.sakeno.com/meigara/722
125,113,泉川,いずみかわ,廣木酒造本店,福島県,河沼郡,http://www.sakeno.com/meigara/408
126,113,車坂,くるまざか,吉村秀雄商店,和歌山県,岩出市,http://www.sakeno.com/meigara/1353
127,113,梅乃宿,うめのやど,梅乃宿酒造,奈良県,葛城市,http://www.sakeno.com/meigara/899
128,128,いづみ橋,いづみばし,泉橋酒造,神奈川県,海老名市,http://www.sakeno.com/meigara/499
129,128,大信州,だいしんしゅう,大信州酒造,長野県,松本市,http://www.sakeno.com/meigara/126
130,128,龍力,たつりき,本田商店,兵庫県,姫路市,http://www.sakeno.com/meigara/871
131,128,嘉美心,かみこころ,嘉美心酒造,岡山県,浅口市,http://www.sakeno.com/meigara/996
132,128,残草蓬莱,ざるそうほうらい,大矢孝酒造,神奈川県,愛甲郡,http://www.sakeno.com/meigara/1174
133,128,栄光冨士,えいこうふじ,冨士酒造,山形県,鶴岡市,http://www.sakeno.com/meigara/72
134,128,貴,たか,永山本家酒造場,山口県,宇部市,http://www.sakeno.com/meigara/1085
135,128,水芭蕉,みずばしょう,永井酒造,群馬県,利根郡,http://www.sakeno.com/meigara/99
136,128,萩の鶴,はぎのつる,萩野酒造,宮城県,栗原市,http://www.sakeno.com/meigara/179
137,128,篠峯,しのみね,千代酒造,奈良県,御所市,http://www.sakeno.com/meigara/1514
138,128,日置桜,ひおきざくら,山根酒造場,鳥取県,鳥取市,http://www.sakeno.com/meigara/950
139,128,龍神丸,りゅうじんまる,高垣酒造,和歌山県,有田郡,http://www.sakeno.com/meigara/1529
140,128,北雪,ほくせつ,北雪酒造,新潟県,佐渡市,http://www.sakeno.com/meigara/616
141,128,鷹勇,たかいさみ,大谷酒造,鳥取県,東伯郡,http://www.sakeno.com/meigara/957
142,128,上善如水,じょうぜんみずのごとし,白瀧酒造,新潟県,南魚沼郡,http://www.sakeno.com/meigara/588
143,128,たかちよ,たかちよ,高千代酒造,新潟県,南魚沼市,http://www.sakeno.com/meigara/2899
144,144,宗玄,そうげん,宗玄酒造,石川県,珠洲市,http://www.sakeno.com/meigara/1055
145,144,小鼓,こつづみ,西山酒造場,兵庫県,丹波市,http://www.sakeno.com/meigara/875
146,144,鯉川,こいかわ,鯉川酒造,山形県,東田川郡,http://www.sakeno.com/meigara/71
147,144,不老泉,ふろうせん,上原酒造,滋賀県,高島市,http://www.sakeno.com/meigara/1119
148,144,磐城壽,いわきことぶき,鈴木酒造店（福島県）,福島県,双葉郡,http://www.sakeno.com/meigara/1337
149,144,群馬泉,ぐんまいずみ,島岡酒造,群馬県,太田市,http://www.sakeno.com/meigara/474
150,144,龍勢,りゅうせい,藤井酒造（広島県）,広島県,竹原市,http://www.sakeno.com/meigara/1039
151,144,鏡山,かがみやま,小江戸鏡山酒造,埼玉県,川越市,http://www.sakeno.com/meigara/1369
152,144,花垣,はながき,南部酒造場,福井県,大野市,http://www.sakeno.com/meigara/670
153,144,白岳仙,はくがくせん,安本酒造,福井県,福井市,http://www.sakeno.com/meigara/1061
154,144,笑四季,えみしき,笑四季酒造,滋賀県,甲賀市,http://www.sakeno.com/meigara/784
155,144,萩乃露,はぎのつゆ,福井弥平商店,滋賀県,高島市,http://www.sakeno.com/meigara/800
156,144,醴泉,れいせん,玉泉堂酒造,岐阜県,養老郡,http://www.sakeno.com/meigara/691
157,144,花泉,はないずみ,花泉酒造,福島県,南会津郡,http://www.sakeno.com/meigara/1221
158,144,大山,おおやま,加藤嘉八郎酒造,山形県,鶴岡市,http://www.sakeno.com/meigara/236
159,144,鳴海,なるか,東灘醸造,千葉県,勝浦市,http://www.sakeno.com/meigara/1994
160,144,帰山,きざん,千曲錦酒造,長野県,佐久市,http://www.sakeno.com/meigara/1750
161,144,賀茂金秀,かもきんしゅう,金光酒造（広島県）,広島県,東広島市,http://www.sakeno.com/meigara/1233
162,144,奥の松,おくのまつ,奥の松酒造,福島県,二本松市,http://www.sakeno.com/meigara/382
163,144,宮寒梅,みやかんばい,寒梅酒造（宮城県）,宮城県,大崎市,http://www.sakeno.com/meigara/46
164,144,るみ子の酒,るみこのさけ,森喜酒造場,三重県,伊賀市千歳41-2,http://www.sakeno.com/meigara/775
165,144,甲子,きのえねまさむね,飯沼本家,千葉県,印旛郡,http://www.sakeno.com/meigara/105
166,144,誠鏡,せいきょう,中尾醸造,広島県,竹原市,http://www.sakeno.com/meigara/1041
167,144,旭日,きょくじつ,藤居本家,滋賀県,愛知郡,http://www.sakeno.com/meigara/795
168,168,あぶくま,あぶくま,玄葉本店,福島県,田村市,http://www.sakeno.com/meigara/388
169,168,町田酒造,まちだしゅぞう,町田酒造店（群馬県前橋市）,群馬県,前橋市,http://www.sakeno.com/meigara/1569
170,168,春霞,はるがすみ,栗林酒造店,秋田県,仙北郡,http://www.sakeno.com/meigara/192
171,168,賀儀屋,かぎや,成龍酒造,愛媛県,西条市,http://www.sakeno.com/meigara/1536
172,168,川鶴,かわつる,川鶴酒造,香川県,観音寺市,http://www.sakeno.com/meigara/337
173,168,明鏡止水,めいきょうしすい,大澤酒造,長野県,佐久市,http://www.sakeno.com/meigara/525
174,168,洗心,せんしん,朝日酒造（新潟県）,新潟県,長岡市,http://www.sakeno.com/meigara/1171
175,168,出雲富士,いずもふじ,富士酒造,島根県,出雲市,http://www.sakeno.com/meigara/971
176,168,会津娘,あいづむすめ,高橋庄作酒造店,福島県,会津若松市,http://www.sakeno.com/meigara/80
177,168,住吉,すみよし,樽平酒造,山形県,東置賜郡,http://www.sakeno.com/meigara/247
178,168,天吹,あまぶき,天吹酒造,佐賀県,三養基郡,http://www.sakeno.com/meigara/288
179,168,会津中将,あいづちゅうじょう,鶴乃江酒造,福島県,会津若松市,http://www.sakeno.com/meigara/396
180,168,豊賀,とよか,高沢酒造,長野県,上高井郡,http://www.sakeno.com/meigara/1601
181,168,美丈夫,びじょうぶ,浜川商店,高知県,安芸郡,http://www.sakeno.com/meigara/375
182,168,菊正宗,きくまさむね,菊正宗酒造,兵庫県,神戸市,http://www.sakeno.com/meigara/842
183,168,富久長,ふくちょう,今田酒造本店,広島県,東広島市,http://www.sakeno.com/meigara/1040
184,168,れいざん,れいざん,山村酒造,熊本県,阿蘇郡,http://www.sakeno.com/meigara/308
185,168,一本義,いっぽんぎ,一本義久保本店,福井県,勝山市,http://www.sakeno.com/meigara/1083
186,168,竹鶴,たけつる,竹鶴酒造,広島県,竹原市,http://www.sakeno.com/meigara/1036
187,168,丹沢山,たんざわさん,川西屋酒造店,神奈川県,足柄上郡,http://www.sakeno.com/meigara/498
188,168,奥,おく,山崎合資,愛知県,西尾市,http://www.sakeno.com/meigara/1253
189,168,十九,じゅうく,尾澤酒造場,長野県,長野市,http://www.sakeno.com/meigara/1106
190,168,長陽福娘,ちょうようふくむすめ,岩崎酒造,山口県,萩市,http://www.sakeno.com/meigara/1742
191,168,白龍（福井県）,はくりゅう,吉田酒造（福井県）,福井県,吉田郡,http://www.sakeno.com/meigara/1288
192,168,美寿々,みすず,美寿々酒造,長野県,塩尻市,http://www.sakeno.com/meigara/1070
193,168,三連星,さんれんせい,美冨久酒造,滋賀県,甲賀市,http://www.sakeno.com/meigara/1653
194,168,天寿,てんじゅ,天寿酒造,秋田県,由利本荘市,http://www.sakeno.com/meigara/197
195,168,天覧山,てんらんざん,五十嵐酒造,埼玉県,飯能市,http://www.sakeno.com/meigara/1120
196,168,酔右衛門,よえもん,川村酒造店,岩手県,花巻市,http://www.sakeno.com/meigara/1269
197,168,大倉,おおくら,大倉本家,奈良県,香芝市,http://www.sakeno.com/meigara/1273
198,168,高千代,たかちよ,高千代酒造,新潟県,南魚沼市,http://www.sakeno.com/meigara/1442
199,168,相模灘,さがみなだ,久保田酒造（神奈川県）,神奈川県,相模原市,http://www.sakeno.com/meigara/1241
200,168,七賢,しちけん,山梨銘醸,山梨県,北杜市,http://www.sakeno.com/meigara/506
